,destination,passanger,gender,weather,maritalStatus,occupation,coupon,distance,has_children,direction_same,income,education,Age,time,expiration,temperature,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,Y
0,1,0,0,2,3,24,4,2,1,0,3,2,1,2,1,1,0,0,2,3,2,1
1,1,1,0,2,3,24,2,2,1,0,3,2,1,1,0,2,0,0,2,3,2,0
2,1,1,0,2,3,24,1,0,1,0,3,2,1,1,0,2,0,0,2,3,2,1
3,1,1,0,2,3,24,2,0,1,0,3,2,1,2,0,2,0,0,2,3,2,0
4,1,1,0,2,3,24,2,0,1,0,3,2,1,2,1,2,0,0,2,3,2,0
5,1,1,0,2,3,24,4,0,1,0,3,2,1,3,0,2,0,0,2,3,2,1
6,1,1,0,2,3,24,1,0,1,0,3,2,1,2,1,1,0,0,2,3,2,1
7,1,2,0,2,3,24,4,0,1,0,3,2,1,1,0,2,0,0,2,3,2,1
8,1,2,0,2,3,24,1,0,1,0,3,2,1,1,0,2,0,0,2,3,2,1
9,1,2,0,2,3,24,0,0,1,0,3,2,1,1,1,2,0,0,2,3,2,0
10,1,2,0,2,3,24,4,2,1,0,3,2,1,2,1,2,0,0,2,3,2,1
11,1,2,0,2,3,24,4,0,1,0,3,2,1,2,1,1,0,0,2,3,2,1
12,1,2,0,2,3,24,2,0,1,0,3,2,1,3,0,1,0,0,2,3,2,1
13,0,0,0,2,3,24,0,2,1,1,3,2,1,3,1,1,0,0,2,3,2,1
14,0,0,0,2,3,24,3,0,1,0,3,2,1,3,1,1,0,0,2,3,2,1
15,0,0,0,2,3,24,2,2,1,0,3,2,1,3,0,2,0,0,2,3,2,0
16,2,0,0,2,3,24,2,1,1,0,3,2,1,0,0,1,0,0,2,3,2,1
17,2,0,0,2,3,24,0,1,1,0,3,2,1,0,1,1,0,0,2,3,2,0
18,2,0,0,2,3,24,3,0,1,0,3,2,1,0,1,2,0,0,2,3,2,1
19,2,0,0,2,3,24,1,2,1,1,3,2,1,0,0,2,0,0,2,3,2,1
20,2,0,0,2,3,24,4,2,1,0,3,2,1,0,1,1,0,0,2,3,2,0
21,2,0,0,2,3,24,2,0,1,0,3,2,1,0,0,1,0,0,2,3,2,1
22,1,0,1,2,2,0,4,2,0,0,5,4,1,2,1,1,0,1,3,3,1,1
23,1,1,1,2,2,0,2,2,0,0,5,4,1,1,0,2,0,1,3,3,1,0
24,1,1,1,2,2,0,0,2,0,0,5,4,1,1,1,2,0,1,3,3,1,1
25,1,1,1,2,2,0,1,0,0,0,5,4,1,1,0,2,0,1,3,3,1,0
26,1,1,1,2,2,0,2,2,0,0,5,4,1,2,1,2,0,1,3,3,1,0
27,1,1,1,2,2,0,2,0,0,0,5,4,1,2,0,2,0,1,3,3,1,0
28,1,1,1,2,2,0,2,0,0,0,5,4,1,2,1,2,0,1,3,3,1,0
29,1,1,1,2,2,0,4,0,0,0,5,4,1,2,1,2,0,1,3,3,1,1
30,1,1,1,2,2,0,2,2,0,0,5,4,1,3,0,2,0,1,3,3,1,0
31,1,1,1,2,2,0,4,0,0,0,5,4,1,3,0,2,0,1,3,3,1,1
32,1,1,1,2,2,0,2,2,0,0,5,4,1,2,0,1,0,1,3,3,1,0
33,1,1,1,2,2,0,1,0,0,0,5,4,1,2,1,1,0,1,3,3,1,1
34,1,0,1,2,2,0,2,2,0,0,5,4,1,1,0,1,0,1,3,3,1,0
35,0,0,1,2,2,0,0,2,0,1,5,4,1,3,1,1,0,1,3,3,1,1
36,0,0,1,2,2,0,3,0,0,0,5,4,1,3,1,1,0,1,3,3,1,0
37,0,0,1,2,2,0,2,2,0,0,5,4,1,3,0,2,0,1,3,3,1,0
38,2,0,1,2,2,0,2,1,0,0,5,4,1,0,0,1,0,1,3,3,1,0
39,2,0,1,2,2,0,0,1,0,0,5,4,1,0,1,1,0,1,3,3,1,1
40,2,0,1,2,2,0,3,0,0,0,5,4,1,0,1,2,0,1,3,3,1,0
41,2,0,1,2,2,0,1,2,0,1,5,4,1,0,0,2,0,1,3,3,1,1
42,2,0,1,2,2,0,4,2,0,0,5,4,1,0,1,1,0,1,3,3,1,1
43,2,0,1,2,2,0,2,0,0,0,5,4,1,0,0,1,0,1,3,3,1,0
44,1,0,1,2,2,22,4,2,0,0,1,2,3,2,1,1,0,3,2,2,0,1
45,1,1,1,2,2,22,2,2,0,0,1,2,3,1,0,2,0,3,2,2,0,1
46,1,1,1,2,2,22,0,2,0,0,1,2,3,1,1,2,0,3,2,2,0,0
47,1,1,1,2,2,22,1,0,0,0,1,2,3,1,0,2,0,3,2,2,0,1
48,1,1,1,2,2,22,2,2,0,0,1,2,3,2,1,2,0,3,2,2,0,1
49,1,1,1,2,2,22,2,0,0,0,1,2,3,2,0,2,0,3,2,2,0,1
50,1,1,1,2,2,22,2,0,0,0,1,2,3,2,1,2,0,3,2,2,0,0
51,1,1,1,2,2,22,4,0,0,0,1,2,3,2,1,2,0,3,2,2,0,1
